Meeting title	Write Faster with Copilot
Attended participants	32
Start time	5/20/2026	1:00:00 PM
End time	5/20/2026	1:55:00 PM
Meeting duration	55m 0s
Average attendance time	42m 29s

2. Participants
Name	First Join	Last Leave	In-Meeting Duration	Email	Participant ID (UPN)	Role	Engagement: Reaction-Applause	Engagement: Reaction-Laugh	Engagement: Reaction-Like	Engagement: Reaction-Love	Engagement: Reaction-Surprised	Engagement: Camera On	Engagement: Raise Hands	Engagement: Unmute
Microsoft Trainer	5/20/2026	12:56:00 PM	5/20/2026	1:57:00 PM	1h 1m 0s	microsoft.trainer@acme.test	microsoft.trainer@acme.test	Presenter	1	0	0	0	1	0	0	1
Copilot Support Team	5/20/2026	12:58:00 PM	5/20/2026	1:58:00 PM	1h 0m 0s	copilot.support.team@acme.test	copilot.support.team@acme.test	Presenter	0	0	0	0	0	1	0	1
Wile E. Coyote (ACME/ANVIL EMP)	5/20/2026	1:00:44 PM	5/20/2026	1:33:44 PM	33m 0s	wile.e.coyote@acme.test	wile.e.coyote@acme.test	Attendee	0	0	1	0	0	1	0	0
Brain (ACME/BRAIN EMP)	5/20/2026	1:30:00 PM	5/20/2026	1:31:19 PM	1m 19s	brain@acme.test	brain@acme.test	Attendee	0	1	2	0	0	0	0	1
Bugs Bunny (ACME/CHASE EMP)	5/20/2026	1:14:00 PM	5/20/2026	1:53:56 PM	39m 56s	bugs.bunny@acme.test	bugs.bunny@acme.test	Organizer	0	0	0	0	0	0	0	0
Cecil Turtle (ACME/ADMN EMP)	5/20/2026	1:00:55 PM	5/20/2026	1:50:38 PM	49m 43s	cecil.turtle@acme.test	cecil.turtle@acme.test	Attendee	0	0	1	0	0	0	0	0
Granny (ACME/RKTW EMP)	5/20/2026	1:00:00 PM	5/20/2026	1:51:43 PM	51m 43s	granny@acme.test	granny@acme.test	Attendee	1	0	0	0	0	1	0	0
Tweety Bird (ACME/BOOM EMP)	5/20/2026	1:01:00 PM	5/20/2026	1:53:49 PM	52m 49s	tweety.bird@acme.test	tweety.bird@acme.test	Attendee	0	0	0	0	0	0	0	1
Henery Hawk (ACME/PROPS CTR)	5/20/2026	1:07:13 PM	5/20/2026	1:30:13 PM	23m 0s	henery.hawk@acme.test	henery.hawk@acme.test	Attendee	0	0	0	0	0	1	0	1
Chicken Hawk (ACME/GENETICS EMP)	5/20/2026	1:01:17 PM	5/20/2026	1:54:52 PM	53m 35s	chicken.hawk@acme.test	chicken.hawk@acme.test	Attendee	0	0	0	0	0	0	0	0
